Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Gradient Boosting,0.7953091684434968,0.6387096774193548,0.5294117647058824,0.5789473684210527,0.8384022446433471
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.7867803837953091,0.6241610738255033,0.49732620320855614,0.5535714285714286,0.8109692966335527
Decision Tree,0.7213930348258707,0.47680412371134023,0.4946524064171123,0.48556430446194226,0.6493081259609361
